"","CNV_20q","CNV_20p","CNV_Xq11.2","CNV_14q","CNV_17q24.3","CNV_7q36.3","CNV_12p","CNV_12q","CNV_7q","CNV_7p","CNV_9q","CNV_3p21.32","CNV_10p","CNV_10q","CNV_16p","CNV_16q","CNV_22q","CNV_1q","CNV_1p","CNV_14q31.1","CNV_3q26.32","CNV_8p23.2","CNV_3q","CNV_3p","CNV_5q","CNV_5p","CNV_1q43","CNV_Xq23","CNV_4q34.3","CNV_18q","CNV_8q24.22","CNV_1q24.1","CNV_2q37.3","CNV_17p","CNV_15q","CNV_9p21.3","CNV_21q","CNV_13q13.3","CNV_19q","CNV_19p","CNV_6q26","CNV_6p","CNV_6q","CNV_13q","CNV_Xp22.2","CNV_11q","CNV_11p","CNV_1q32.1","CNV_8p","CNV_8q","CNV_17q","CNV_3p25.3","CNV_5q35.1","CNV_Xq","CNV_2p","CNV_2q","CNV_1p36.23","CNV_1p31.1","CNV_10p14","CNV_4p","CNV_4q","CNV_4q32.1","CNV_10q23.31","CNV_9p23","CNV_3p12.2","CNV_3q11.2","CNV_Xp11.4","CNV_9p","CNV_18p"
"TCGA.CJ.6033",0,0,-0.052984,-0.382,0.018996,0.0035212,0,0,0,0,-0.371,-0.55052,0,-0.214,0,0,0,0,0,-0.38186,0.23432,-0.65814,-0.362,-0.551,0,0,0.085275,-0.04599,-0.037167,0,0.22752,0.085275,0.029238,0,0,-0.37139,0,-0.017889,0,0,-0.013212,0,0,0,-0.052984,0,0,0.085275,-0.658,0.209,0,-0.56432,0.59069,0,0,0,-0.21028,0.067142,0.0063921,0,0,-0.037167,-0.21424,-0.37139,-0.55052,0.18842,-0.052984,-0.371,0
"TCGA.CJ.6030",0,0,-0.098945,-0.5,0.008892,0.066372,0,0,0,0,-0.493,-0.5162,0,0,0,0,0,0,0,-0.49996,0.010146,-0.45329,0,-0.516,0,0,0.020012,-0.098945,0.0070595,0,-0.3943,0.020012,-0.022258,0,0,-0.49225,0,-0.014599,0,0,-0.0016724,0,0,0,-0.098945,0,0,0.020012,-0.447,-0.447,0,-0.5162,0.053237,0,0,0,-0.51342,0.020012,-0.0066432,-0.518,0,0.0070595,0,-0.49225,-0.5162,0.010146,-0.098945,-0.493,0
"TCGA.B8.4622",0.455,0.455,0.007262,0,0.0020805,0.44799,0.438,0.438,0.448,0.448,-0.505,-0.55537,0,0,0,0,0,0,0,0.00013863,0.001803,-0.0053992,0,-0.547,0,0,0.003191,0.007262,0,0,-0.0053992,0.003191,-0.0040693,0,0,-0.50525,0,-0.0043154,0,0,-0.0027707,0,0,0,0.012516,0,0,0.003191,0,0,0,-0.55537,-0.003413,0,0,0,0.022304,0.003191,-0.006505,0,0,0,-0.006505,-0.51959,0.0010851,0.0010851,0.012516,-0.505,0
"TCGA.B0.4700",0.21,0.21,-0.0096806,0,0.010842,0.095508,0,0,0,0,0,-0.08206,0,0,0,0,0,0,0,-0.00041585,0.051672,-0.097968,0,0,0.116,0.116,0.10249,-0.0096806,0,-0.148,-0.029857,0.019028,-0.038553,0,0,-0.070536,0,-0.098155,0,0,-0.090195,0,0,0,-0.0096806,0,0,0.019028,0,0,0,-0.08206,0.11594,0,0,0,-0.11525,0.019028,-0.063435,0,0,0,-0.063435,-0.070536,-0.08206,-0.08206,-0.0096806,0,-0.148
"TCGA.CW.5591",0.907,0.907,0.21004,0,0,0.44698,0.449,0.449,0.447,0.447,0,-0.50256,0,0,0.464,0.464,0.458,0,0,-0.0083101,0.46092,0.86195,0.427,-0.075,1.321,1.321,-0.0088526,0.21004,-0.021373,0,0.86195,-0.0088526,0.64983,0,0,-0.0033243,0.454,-0.033038,0.458,0.458,-0.019589,0,0,0,0.22581,0,0,-0.0088526,0.862,0.862,0,-0.50256,1.3452,0.226,0.65,0.65,0.0066653,-0.51651,-0.0096806,0,0,-0.028345,-0.011453,-0.49057,-0.4661,0.46092,0.21004,0,0
"TCGA.B0.4712",0.393,0.393,-0.035993,-0.283,-0.24436,0.40028,0.381,0.381,0.4,0.4,-0.28,-0.30216,-0.295,-0.295,0.431,0.431,-0.268,0,0,-0.29189,0.40738,-0.31646,0.409,0.107,0.461,0.461,0.070817,-0.052613,-0.29378,-0.275,0.080024,0.057511,0.057226,-0.244,-0.277,-0.2805,-0.28,-0.30055,0,0,-0.30567,-0.299,-0.299,-0.294,-0.035993,0,0,0.070817,-0.654,0,-0.244,-0.30216,0.4615,0,0,0,-0.090463,-0.91537,-0.2952,-0.294,-0.294,-0.29378,-0.2952,-0.2805,-0.30216,0.40978,-0.035993,-0.28,-0.275
"TCGA.A3.3387",0,0,0.026469,-0.508,0.00458,0.15808,0.162,0.162,0.158,0.158,0,-0.51887,0,0,0.165,0.165,0,0,0,-0.50836,0.31643,-0.097482,-0.202,-0.519,0,0,0.022585,0.026469,-0.0040162,-0.144,-0.0030475,0.022585,0,0,0.166,-0.0087146,0,0.0055529,0,0,0.012063,0,0,0,0.029044,0,0,0.022585,0,0,0,-0.51887,0.63646,0,0,0,0.022585,0.022585,-0.012989,0,0,-0.0040162,-0.012989,-0.0087146,-0.55046,0.31643,0.026469,0,-0.144
"TCGA.B0.5701",0,0,-0.018436,-0.53,0.055088,0.51385,0,0,0.523,0.523,-0.526,-0.54229,0,0,0,0,-0.483,0.463,0,-0.53012,-0.0077482,-0.013127,0,-0.535,0.484,0.484,0.49701,-0.018436,-0.52573,0,0.5245,0.022865,-0.0026322,0,0,-0.52645,0,-0.0044312,0,0,0.0095883,0,0,0,-0.018436,0,0,0.48564,0,0,0,-0.54229,0.53428,0,0,0,-0.48281,0.022865,0.013772,0,0,-0.52573,0.0091909,-0.52645,-0.0077482,-0.0077482,-0.018436,-0.526,0
"TCGA.B0.5706",0,0,-0.029277,0,-0.0094046,-0.0030475,0,0,0,0,0,-0.41476,0,-0.419,0,0,0,0,0,-0.0020784,0.0065262,0.0011093,0,-0.414,0,0,0.0037465,-0.029277,0.0037465,0,0.0011093,0.39961,0,0,0,-0.00069303,0,0.0024969,0,0,0.0051488,0,0,0,-0.029277,0,0,0.0037465,0,0,0,-0.41476,-0.0012473,0,0,0,0.00041593,0.00041593,-0.010646,0,0,0.0037465,-0.42931,-0.00069303,-0.41531,-0.41531,-0.029277,0,0
"TCGA.CW.5589",0,0,0.018383,0,-0.014521,0.0027745,0,0,0,0,0,-0.60298,0,0,0,0,0,0,0,-0.03286,0.011958,0.00055459,0,-0.599,0.608,0,0.0022193,0.018383,0.0034163,0,0.00055459,0.58345,-0.0031859,0,0,0.004719,0,0,0,0,0.0075126,0,0,0,0.018383,0,0,0.0022193,0,0,0,-0.59944,0.60967,0,0,0,-0.0020784,-0.0020784,0.0022193,0,0,0.0062481,0.0018393,0.004719,-0.58843,0.011958,0.018383,0,0
