"","TCGA.22.5478","TCGA.22.5472","TCGA.60.2709","TCGA.22.5489","TCGA.22.5471","TCGA.22.5482","TCGA.22.5483","TCGA.43.3394","TCGA.34.7107","TCGA.43.6771","TCGA.22.5491","TCGA.33.6737","TCGA.90.6837"
"HIST3H2A",703.28,287.01,70.51,145.02,397.93,463.65,242.88,403.5,454.09,16.51,718.08,197.09,106.63
"LIN7B",102.25,212.78,244.57,105.89,258.57,249.73,215.77,173.85,136.19,153.34,435.55,165.57,395.18
"LXN",271.48,759.08,620.67,329.84,587.13,400.71,287.01,830.75,463.65,81.14,285.03,414.87,503.95
"CNKSR2",45.85,6.16,11.91,12.27,1.38,4.31,9.2,25.72,6.41,0,8.85,6.52,1.66
"SCML1",67.12,57.89,132.44,66.65,336.79,94.67,134.3,202.66,224.97,84.63,417.77,61.68,53.57
"AC024592.12",16.88,63.45,23.08,46.5,38.95,34.75,31.67,44.89,51.71,62.56,63.89,26.1,21.63
"GSDMD",1674.06,1685.71,2133.97,2451.44,1467.37,974.5,713.11,1313.23,836.53,1096.5,830.75,1175.27,1208.34
"AKR1C1",1023,1242.34,40621.74,660.68,5366.37,45386.27,62865.33,35363.15,39510.91,813.63,17437.64,39785.74,656.11
"C3orf62",59.97,100.83,112.77,52.08,79.45,52.82,33.54,62.56,111.99,89.51,66.18,42.11,167.9
"CRISPLD2",518.15,220.32,1015.93,1059.11,241.19,291.04,483.38,211.31,1135.2,674.59,85.22,599.49,1023
"DOCK5",108.9,198.47,120.1,118.43,20.86,148.09,103.69,38.12,186.4,135.24,31.9,723.08,155.5
"SLC33A1",473.41,642.59,547.75,813.63,902.89,1081.39,624.99,518.15,563.18,332.14,915.51,525.39,500.46
"GLI1",21.63,31.9,169.07,24.11,53.57,181.28,87.65,32.59,106.63,78.89,44.25,21.32,92.05
"STK17B",320.8,371.22,336.79,633.73,256.78,289.02,248,316.37,283.05,299.25,189.02,237.86,242.88
"RP5-966M1.6",6.11,6.62,30.56,11.82,6.78,6.84,7.51,10.47,13.42,4.66,5.87,6.67,17.51
"VPS52",665.29,1066.48,934.76,934.76,872.1,1277.29,915.51,872.1,785.88,928.3,591.22,1159.07,1051.79
"HAGHL",88.88,161.02,232.94,116.78,144.01,82.29,193.01,187.71,281.09,177.53,89.51,281.09,301.33
"CDC37L1",141.02,151.22,201.25,215.77,114.36,157.68,166.73,177.53,417.77,329.84,173.85,170.25,180.02
"KRT10",563.18,1208.34,356.05,224.97,521.76,497,412,638.15,334.46,414.87,6121.9,423.61,341.51
"AEN",285.03,309.83,287.01,285.03,231.32,318.57,395.18,490.14,246.28,400.71,438.59,299.25,612.11
"CYHR1",1407.55,1073.91,1030.12,1096.5,915.51,1127.35,738.29,915.51,854.13,595.34,967.76,1685.71,1037.29
"VWA1",3443.31,1427.22,819.3,507.46,612.11,967.76,500.46,473.41,406.31,1498.22,450.94,1066.48,813.63
"EXOSC9",480.04,332.14,525.39,389.72,483.38,426.57,559.28,466.88,316.37,297.17,348.71,532.74,327.56
"TNFAIP8L2",94.01,146.03,228.13,172.65,197.09,44.25,82.87,50.27,74.58,49.56,61.25,89.51,190.34
"PFDN2",3280.18,2434.5,3039.3,3467.27,6983.79,3901.01,4671.57,4388.98,3124.78,3614.55,3794.3,4328.55,4095
"TCP1",2591.27,3235.01,2835.7,2520.38,3168.41,7331.05,6840.04,5041.77,4388.98,3124.78,5219.6,5791.62,3901.01
"ALG9",409.15,476.71,409.15,435.55,463.65,470.14,426.57,447.82,358.54,334.46,406.31,363.56,575.03
"RPS15A",21617.82,41763.8,44145.15,67846.12,42641.37,37121.34,50359.33,67377.47,65082.31,46019.85,68318.04,57051.4,37121.34
"PMEL",137.14,24.99,36.79,36.53,54.33,17.9,24.46,90.14,39.79,18.7,67.59,22.43,23.76
"SFMBT1",167.9,94.01,114.36,101.54,79.45,61.68,110.43,129.69,155.5,140.04,90.14,75.11,69.52
"CYBA",2645.74,4607.24,9279.58,5913.33,6652.97,2047,4038.61,3190.46,3794.3,1304.15,5711.87,7803.01,8479.89
"GINS1",819.3,169.07,232.94,316.37,366.09,389.72,547.75,320.8,353.59,105.15,503.95,202.66,151.22
"GPX3",1295.13,4903.87,5791.62,2090.03,1628.26,3395.89,1572.76,1350.18,890.44,7695.57,723.08,10440.2,3372.43
"IPO9",1208.34,698.41,684.02,1088.92,896.64,629.35,1044.52,447.82,1030.12,656.11,551.56,860.08,860.08
"SHKBP1",1685.71,2148.82,2178.83,2090.03,1529.73,1340.84,1583.71,2720.15,2682.69,1909.85,1662.49,2777.33,2104.58
"ARHGAP40",8.92,60.82,11.91,1.64,38.95,12.27,2.12,15.22,3.5,37.32,5.87,71.5,16.03
"ENO3",267.73,96.01,159.9,169.07,198.47,181.28,249.73,454.09,145.02,41.81,41.52,128.79,125.24
"COX19",183.82,209.84,177.53,129.69,206.94,412,108.14,232.94,148.09,131.51,104.42,167.9,208.38
"LMF1",264.03,336.79,244.57,325.29,312,154.42,148.09,244.57,269.6,102.97,181.28,73.03,323.03
"S100P",2075.59,7032.37,483.38,339.14,607.87,314.17,8022.41,223.41,94.67,4671.57,12076.21,122293.5,1427.22
"RDH14",743.43,490.14,435.55,420.68,587.13,309.83,514.56,612.11,368.65,260.38,409.15,543.96,417.77
"GDE1",2224.63,2133.97,1175.27,896.64,890.44,591.22,1883.54,1015.93,1286.18,872.1,1417.35,872.1,1081.39
"LSM14B",915.51,872.1,825,769.69,981.29,595.34,1015.93,915.51,748.61,796.86,551.56,435.55,579.04
"TLE2",599.49,547.75,277.2,129.69,147.06,69.03,211.31,201.25,158.79,46.18,76.71,143.01,170.25
"ACOT8",1857.6,684.02,612.11,476.71,518.15,603.67,521.76,511,297.17,409.15,769.69,490.14,518.15
"EIF4EBP3",194.36,629.35,529.06,423.61,808,435.55,126.12,713.11,723.08,146.03,540.19,435.55,432.53
"LRP2BP",12.09,17.77,9.93,6.36,6.01,10.96,14.24,13.72,5.82,4.7,4.82,7.06,7.75
"PELO",277.2,199.85,327.56,291.04,289.02,281.09,361.04,318.57,244.57,307.69,176.29,483.38,323.03
"CDIPT",1832.01,2335.28,2193.99,1498.22,1950,1477.58,1388.16,1844.76,3665.02,2090.03,2090.03,1378.57,2627.46
"C19orf44",58.71,75.64,71.5,76.17,80.01,40.07,72.01,35.25,115.16,29.91,44.89,36.27,57.89
"PABPN1",2004.85,2047,2148.82,2555.58,3060.45,1628.26,2384.37,1467.37,2627.46,2555.58,1388.16,3901.01,2895.31
"NFKBIB",603.67,575.03,669.92,616.37,1096.5,555.41,454.09,688.78,587.13,547.75,753.83,708.18,748.61
"ZWINT",1015.93,791.35,616.37,579.04,1561.89,967.76,1259.69,656.11,1104.13,575.03,1407.55,1277.29,444.72
"DYNLL1",13123.73,11504.21,5872.48,8718.32,16383,12943.04,11112.3,12943.04,11189.6,17681.08,11584.24,13033.07,14867.79
"NRXN3",115.16,119.26,72.52,38.95,34.75,38.12,73.03,73.54,33.78,10,80.01,15.11,24.28
"FYTTD1",921.88,1199.98,1044.52,1457.23,1733.13,2468.49,884.29,1857.6,2701.35,1044.52,2287.2,642.59,921.88
"CAPRIN1",2178.83,2720.15,1909.85,3081.75,1340.84,2367.9,2148.82,2720.15,2319.15,1769.57,2451.44,2303.12,1806.78
"AOC3",341.51,624.99,1183.45,665.29,59.13,127.89,104.42,260.38,575.03,48.52,29.06,503.95,723.08
"KIFC3",332.14,470.14,642.59,283.05,271.48,967.76,314.17,316.37,376.41,954.43,77.25,753.83,1216.75
"DOCK11",51.71,65.26,125.24,85.82,39.79,45.21,150.17,69.03,163.28,49.21,27.05,40.64,73.54
"NENF",2255.7,1378.57,3060.45,2777.33,3564.78,2451.44,2018.8,2255.7,1977.24,1639.59,2061.24,2303.12,2090.03
"TMEM231",178.77,409.15,80.57,182.55,271.48,135.24,234.57,158.79,239.52,65.72,256.78,33.3,43.63
"DNAH17",27.64,23.93,32.13,555.41,447.82,32.36,8.19,265.87,228.13,109.66,32.82,62.56,126.12
"DCHS1",132.44,65.26,136.19,78.34,17.13,27.64,77.25,29.7,100.83,63.45,10.63,94.01,104.42
"ZFYVE19",1023,866.07,470.14,486.75,551.56,802.41,567.1,688.78,559.28,988.12,612.11,409.15,934.76
"NTRK1",10.79,3.89,16.51,17,11.04,4.06,2.03,9.13,8.25,7.63,2.68,8.45,19.11
"CCDC62",3.41,0.44,3.2,3.29,1.38,2.2,2.41,1.16,0.84,2.1,1.07,1.23,2.43
"HS3ST4",224.97,10.71,7.69,21.78,2.81,0,1.53,1.62,0.73,0,11.47,0,0
"SLC5A8",6.52,46.18,3.5,1,0.27,0,1.75,3.41,0.08,0,15.45,18.03,0
"WDR53",253.23,361.04,312,547.75,934.76,872.1,343.89,748.61,1073.91,536.45,909.17,368.65,463.65
"NLN",190.34,187.71,275.28,336.79,164.42,244.57,587.13,366.09,387.02,279.14,191.67,325.29,327.56
"TBC1D31",125.24,99.43,127,152.28,185.11,132.44,211.31,115.97,165.57,47.84,172.65,438.59,143.01
"NOXRED1",6.01,17.64,5.28,5.02,3.69,6.67,2.76,4.43,3.41,1.53,4.03,6.31,4.5
"ZNF597",20.11,43.02,57.89,34.51,36.79,3.17,24.46,5.96,27.64,34.51,35.76,7.28,28.24
"RNF114",2075.59,1407.55,1143.1,1359.57,1143.1,775.05,791.35,802.41,738.29,842.36,1096.5,684.02,791.35
"JOSD2",941.27,1119.56,1088.92,1088.92,1388.16,796.86,878.17,1001.93,813.63,1059.11,842.36,669.92,1104.13
"SFRP2",5791.62,2997.45,6337.83,5872.48,3081.75,2956.17,3060.45,2075.59,7911.95,2520.38,395.18,2209.26,4972.34
"PNMA2",41.81,44.57,31.9,107.38,6.89,12.74,36.79,21.16,23.08,14.35,4.21,32.82,17.51
"CDH10",0.24,2.43,1.38,0.67,0.22,0,0.85,0,0.27,1.79,0,1.68,0.29
"C1orf158",29.27,64.8,0.56,5.73,2.51,0.21,6.16,1.51,0,0,27.44,0,0
"HENMT1",791.35,120.94,100.83,195.72,124.37,100.13,212.78,191.67,67.12,14.89,244.57,139.07,320.8
"STX16",389.72,660.68,884.29,540.19,555.41,723.08,780.44,612.11,514.56,743.43,429.54,638.15,753.83
"PTX3",77.25,67.59,28.86,483.38,36.01,44.25,75.64,12.09,10,75.11,12.27,114.36,19.25
"BFAR",884.29,1059.11,1127.35,1397.83,819.3,733.19,1059.11,1081.39,981.29,836.53,819.3,785.88,909.17
"MEP1B",0.78,0,0,1.79,1.08,0.44,1.13,2.34,0,0,0.75,0.87,0
"SHROOM3",214.27,118.43,115.97,96.68,90.14,28.04,708.18,72.52,25.91,40.07,59.55,115.16,43.32
