"","Fold.change","Gene"
"4",2.71333774410663,"SYT1"
"5",1.29429480340043,"OPCML"
"7",1.3671631648314,"DPP9"
"9",0.616005026538204,"PDZD9"
"10",1.79616262948337,"LIPN"
"13",2.23150964455434,"COL4A5"
"14",0.80779492461504,"TRPV3"
"16",2.74547741271852,"SOX10"
"17",0.926906326792788,"ECEL1"
"18",0.616466269942104,"RNFT1"
"19",1.01014009285473,"RP11-793H13.10"
"20",0.811599637872109,"RNF39"
"22",2.03483064029056,"NAV2"
"25",1.30360877100083,"AEN"
"26",1.31726088529036,"XAF1"
"27",0.743948161695262,"ZNF763"
"28",0.661631297968874,"NDE1"
"29",1.50005981835863,"EDARADD"
"30",1.47944123883525,"ADAM21"
"31",0.999709911822474,"CCDC74B"
"32",0.83189086350067,"ZNF267"
"37",0.723097695143982,"REP15"
"41",1.61300590832054,"C22orf34"
"43",1.39491492605726,"PARM1"
"50",1.05351942819531,"MARVELD1"
"55",0.717322041977324,"PABPC1L"
"56",1.17081214097042,"ANKRD33B"
"58",0.894436340965175,"SC5D"
"59",1.11008812824004,"MATN2"
"61",1.01803390879179,"KRBA2"
"63",1.06131074837809,"WDR63"
"67",0.662997319881281,"TDRP"
"69",0.660764284362565,"C11orf70"
"71",0.944222281326807,"SH3GLB2"
"73",2.47274264722338,"ALS2CL"
"74",0.599394607285495,"PJA1"
"77",1.51940345101044,"CEBPA"
"78",0.90538995798556,"ANKRD18A"
"80",0.951985044609345,"SCN5A"
"81",1.10913839360128,"NDP"
"82",2.51337927313696,"ZIM2"
"88",1.16047880808563,"CCDC42"
"89",0.769779703687307,"NR2C2AP"
"90",2.81164322947262,"KCNH1"
"94",2.63718461409846,"CNGA1"
"96",1.16176201579913,"GALNT6"
"98",2.42647747070844,"PFKFB2"
"99",0.602102606672213,"PRKCI"
"102",0.923209699714166,"DHCR7"
"105",0.896176304480004,"CCDC148"
"108",1.84794360271645,"KLRC3"
"114",0.751039539452869,"TMEM201"
"115",2.24913953574771,"PCSK1N"
"118",0.943465344658558,"RXRG"
"120",1.9405923870691,"ATHL1"
"121",1.12310142866085,"LMO7"
"123",2.65872715376529,"BSPRY"
"124",1.05703716728233,"MTTP"
"125",0.615656334719318,"TMEM9B"
"128",1.79242452628344,"CCNB2"
"129",2.39871540946455,"GDPD2"
"130",2.28612979900843,"PLEKHB1"
"134",1.72337569112579,"KRT85"
"135",2.05982857477007,"MFI2"
"138",1.32049795335603,"TNFRSF10B"
"139",0.730215952095518,"NPIPB11"
"140",1.51681061719469,"CARD9"
"143",0.873957730973363,"NYNRIN"
"144",2.29883982022027,"ARC"
"145",1.75041738121214,"WNK1"
"149",0.985659416090625,"PARP14"
"150",3.69961451648445,"LYPD6"
"156",1.23110342347243,"NCS1"
"157",0.803074040821252,"LIMS3L"
"158",0.771628678487852,"GATA6"
"159",0.91420851230298,"TRIM74"
"163",2.02257768247508,"RP11-307N16.6"
"166",0.621558584410542,"LOXL1"
"169",0.945291590009814,"PPP1R17"
"171",0.83619761177413,"ATAD5"
"173",0.671370567929015,"BEND6"
"176",0.779862347572589,"AP003068.6"
"177",2.16608622239354,"C1QTNF7"
"178",0.587231205480309,"PDE4DIP"
"180",1.09222912803717,"MTMR10"
"181",2.1632023971556,"HAP1"
"183",1.81556533521963,"EXTL1"
"186",0.598345899566549,"RPL6"
"187",4.22095292435567,"SLC9A3"
"189",1.20167994484894,"CD300E"
"190",1.27884508568647,"BTN2A2"
"191",0.952028062380391,"MVP"
"194",3.63285468464665,"DNAJB13"
"195",1.77735794433296,"GP6"
"196",2.48211386536693,"IGSF10"
"197",2.09525842406316,"HYKK"
"198",0.855654834079856,"B9D2"
"201",0.998389641836031,"TRPM4"
"208",1.35716343303348,"TF"
"209",2.94486542382101,"EPO"
"210",1.16613318428285,"ACHE"
"213",1.94229964531981,"FAM150B"
"220",1.11222439772739,"SLC18A2"
"224",0.862621457263291,"NDUFB1"
"225",0.642919833041232,"SCO1"
"228",4.08834607344262,"COL4A6"
"231",0.630891034179756,"SLC45A4"
"235",0.815037566989774,"SH2B2"
"236",0.998330310180186,"ELMOD1"
"237",0.752746305770413,"FZD9"
"240",0.740251946492856,"KIF25"
"242",2.17570907659196,"PCDHGB2"
"243",1.39576432948412,"LDLRAD3"
"244",0.838473653863819,"RPS8"
"245",0.943664944933862,"LYPD8"
"248",0.639750341063809,"ZNF626"
"249",1.50074984858295,"HIST1H2BH"
"254",1.98108182360236,"WDR72"
"263",2.67243351702289,"DNASE1L3"
"264",2.72838569474216,"PSORS1C1"
"265",0.988721482653151,"DNAH10"
"266",1.03646566212077,"CRYBB2"
"271",0.778462959458632,"TUB"
"272",2.47208837631775,"VIM"
"279",0.666230660357378,"PRADC1"
"287",1.13555955378077,"FAM169B"
"288",0.905155244085614,"DAGLB"
"291",0.86521096530148,"ZNF233"
"292",4.62650359505893,"MT1G"
"293",2.4314732279325,"XCL1"
"295",0.995228669954749,"ACACB"
"303",1.30865574704595,"AMT"
"307",2.27018838956917,"SLCO1C1"
"309",1.54990026658489,"HUNK"
"312",0.912282990598401,"RBM47"
"321",2.45667012901841,"KCNJ13"
"323",3.15694509441053,"SMIM22"
"324",1.92687138520521,"ANLN"
"325",1.85570744482483,"C6orf100"
"326",0.611812035720606,"TTC39B"
"330",1.2668121645573,"COL14A1"
"331",0.6584294743628,"CDKL4"
"336",2.30439249336642,"CORIN"
"338",1.04685501343935,"ELF3"
"341",0.638296809775312,"DGKH"
"347",1.38948113366285,"TRADD"
"349",0.639126245637256,"DACT1"
"351",3.86160969638838,"TMEM61"
"353",2.47255898426816,"FCRL6"
"354",2.72710813169045,"LYZ"
"356",1.48947911947279,"PTGES"
"357",3.69400419569195,"CAMK2A"
"360",0.618270743708164,"BTG1"
"362",0.830328352254242,"MYH11"
"365",0.851777178960572,"ADORA2A"
"366",1.9349888669781,"SIGLEC12"
"367",4.96455836389143,"CLDN19"
"370",1.77637718243006,"TMEM233"
"373",0.954171129687882,"RNASE4"
"376",0.993648970982174,"THSD1"
"379",0.728747802944985,"SEPT4"
"382",0.750744264609557,"FAM46C"
"385",0.861769383664452,"PALLD"
"386",2.17838842885557,"BAI1"
"389",1.31075667003354,"EME1"
"390",1.45979469354891,"LGI3"
"391",0.744887681922068,"TM6SF1"
"398",0.614479919680683,"INO80E"
"399",1.31626117956594,"MPP5"
"400",2.84681875328809,"DPP6"
"402",0.858542784922218,"ATP9A"
"403",0.676164094484456,"SBF1"
"404",2.72700587335476,"C1QL4"
"405",1.31884721303611,"SYT5"
"406",0.602138971734977,"ATP5C1"
"408",1.15955349275574,"PTGFRN"
"409",0.887073968109396,"GRIN3B"
"411",1.17672672730037,"SPERT"
"412",2.69553347286076,"RPRM"
"414",0.601974511418719,"TPRG1L"
"415",2.35968756968342,"DCXR"
"416",1.79867994518408,"HCST"
"420",0.716694743609876,"PPM1N"
"427",0.665131552151042,"THBS3"
"433",0.680959642287807,"C6orf57"
"434",1.06022775964224,"DTX2"
"435",1.69486792347142,"IMPG2"
"438",2.29854798940713,"TRAT1"
"439",1.79209211682155,"RPH3A"
"440",1.12469066213853,"GPR63"
"441",1.19145002233087,"DGKB"
"443",4.16908509113129,"KCNE1L"
"451",1.53895010296432,"CEBPE"
"456",1.04328826312713,"SLC36A1"
"457",0.632353559902145,"IQSEC3"
"458",0.808092612422298,"ATF4"
"460",1.890489465039,"RGL4"
"463",0.748098767930218,"VPS37B"
"464",3.99485238299789,"PPP1R1B"
"465",0.687515159520865,"NCK2"
"467",1.39818612475281,"SLC13A5"
"468",1.72175469284699,"CXorf65"
"474",3.57043797054472,"LGALS12"
"475",1.29702588814077,"NUTM2E"
"477",1.02273482735925,"EIF1B"
"482",0.616361887194417,"OSTC"
"485",2.76043153653836,"PPAPDC1A"
"487",2.2860606592791,"HSPB8"
"488",0.818970921515793,"IMPDH1"
"489",3.19028427417388,"TPSG1"
"492",0.913258571049726,"MAD2L1"
"494",1.03860299317011,"ANK3"
"495",2.08468708750718,"UCHL1"
"497",2.93826825588949,"CELF3"
"498",1.28358984568817,"RASSF8"
"503",0.619939318193303,"PI4K2A"
"507",4.82138669276578,"SLC28A2"
"509",1.57905194000868,"GRIN2A"
"510",0.834293466629336,"SHD"
"512",0.825371573874836,"CXorf67"
"513",0.947685051871893,"CADM1"
"514",2.36940388602171,"CD180"
"515",0.68735402183751,"MT-ND5"
"516",3.53907558999702,"PLG"
"517",3.5846972427396,"DMRT2"
"519",0.940285106215503,"THAP4"
"521",1.56034653673335,"FAM83F"
"523",4.04915340436695,"FAM215A"
"526",0.837518550175697,"ARTN"
"527",3.43866561859019,"TDRD5"
"530",0.667273341843639,"RPS15A"
"533",0.630001128402105,"PHKA1"
"534",0.947597597411036,"CNDP2"
"535",0.888535270267896,"ARHGEF1"
"537",1.76878412063386,"CKAP2L"
"539",0.668023356113705,"SGCD"
"540",1.22748778830005,"EPHB3"
"546",3.03860598012192,"LINGO2"
"550",0.773452693389165,"NCR3LG1"
"552",2.25726633171398,"KIR3DL2"
"553",1.27716073031342,"CALB2"
"555",1.20657068278229,"GSDMA"
"557",1.40784381059567,"NOTCH4"
"560",2.15634015002718,"CBLN4"
"563",1.28487472726244,"ENPEP"
"564",0.811862414536847,"ATG12"
"565",2.07465368802054,"SLC29A4"
"566",0.607095683045667,"EPB41L2"
"567",1.36351264187535,"CPNE5"
"568",1.85305223470901,"CSF1R"
"570",3.00038379999667,"SOWAHA"
"571",3.63646048379366,"CHL1"
"572",1.17716954194906,"PHGDH"
"573",1.64913923968238,"SLFN11"
"579",1.05599839011674,"LTC4S"
"580",0.695988074433656,"C19orf81"
"587",1.6201205628384,"CDKN3"
"588",1.86548449960471,"CMTM4"
"591",2.82384764853008,"TIGIT"
"595",2.54222202925684,"IGFALS"
