"","Fold.change","Gene"
"1",2.41622019581534,"HIST3H2A"
"3",0.821132699450441,"LXN"
"4",1.56808302758768,"CNKSR2"
"8",3.70170505171943,"AKR1C1"
"9",0.649746712873754,"C3orf62"
"10",1.11649856287345,"CRISPLD2"
"12",0.855548484870472,"SLC33A1"
"13",0.952144406226235,"GLI1"
"14",0.981011843275923,"STK17B"
"15",1.40956298610914,"RP5-966M1.6"
"17",0.653257819420758,"HAGHL"
"18",0.659001707981785,"CDC37L1"
"19",2.17307127873097,"KRT10"
"24",1.82601905453364,"TNFAIP8L2"
"25",0.964038596358643,"PFDN2"
"26",0.888924641773466,"TCP1"
"29",0.730674434886457,"PMEL"
"31",0.755317037356679,"CYBA"
"32",3.94969906932738,"GINS1"
"33",3.51700910231404,"GPX3"
"34",0.740554699170463,"IPO9"
"36",0.81784496635147,"ARHGAP40"
"39",0.761725001500245,"LMF1"
"40",2.21697426634016,"S100P"
"43",0.803614315772803,"LSM14B"
"44",1.69578716473634,"TLE2"
"46",0.892699210479469,"EIF4EBP3"
"47",2.85734675128684,"LRP2BP"
"48",0.593204397533301,"PELO"
"53",3.06745939495051,"ZWINT"
"56",0.840229216159498,"FYTTD1"
"58",3.31062994656719,"AOC3"
"59",0.757131760249203,"KIFC3"
"60",1.91038534038472,"DOCK11"
"62",1.23379404023114,"TMEM231"
"63",1.70568517206085,"DNAH17"
"64",1.21911136166284,"DCHS1"
"68",4.03774639056324,"HS3ST4"
"69",2.41237876357857,"SLC5A8"
"70",1.46724202231421,"WDR53"
"71",1.40754344358614,"NLN"
"72",1.31017697250291,"TBC1D31"
"74",1.5081970301651,"ZNF597"
"77",1.11773033098453,"SFRP2"
"78",2.39824381658537,"PNMA2"
"80",2.77455272429696,"C1orf158"
"81",0.833196405514802,"HENMT1"
"83",2.52216685332881,"PTX3"
"86",1.95738211403495,"SHROOM3"
"87",0.8794766339683,"NUP107"
"88",1.19043537860712,"HS6ST1"
"90",4.25779444073562,"FGF11"
"91",1.30739469535519,"CCDC138"
"93",0.828503472089882,"BATF"
"95",0.923323400862469,"AGFG2"
"101",0.765225008134352,"C1orf233"
"102",1.012492950104,"ADH6"
"106",1.26268502489017,"ITGB6"
"108",2.40923943169325,"CEACAM21"
"111",2.30443240868542,"CCDC181"
"113",1.31718753534753,"RAP1GAP"
"118",3.2777164486629,"NMUR1"
"119",1.93905863372519,"SPATA18"
"122",0.688623390073055,"TLDC2"
"124",1.1345951415489,"GNAI2"
"125",2.29370578444208,"MNDA"
"126",0.591957242956238,"RP11-347C12.3"
"127",2.68613461980576,"CLEC6A"
"128",1.41525600220986,"FCGR2A"
"131",1.42108516334423,"ZNF491"
"134",1.3388395796401,"C1orf109"
"135",2.29420404396442,"GMFG"
"136",0.796521004834002,"MAGEH1"
"138",2.0267277785516,"AC068987.1"
