"","Fold.change","Gene"
"1",0.335404617282969,"METTL21B"
"2",0.0030790929951543,"TXNDC16"
"3",0.0871543231603997,"ZBTB49"
"6",0.117004477289921,"ZNF781"
"8",0.0786224689210187,"TEX2"
"11",0.35837117135401,"C11orf31"
"12",0.0695602815613068,"RAP1A"
"15",0.217345974516155,"ARAF"
"21",0.543927806965269,"SMIM8"
"23",0.556957074300417,"C10orf111"
"24",0.124427985604672,"APC"
"33",0.48697974931895,"CTSB"
"34",0.111033367396837,"CDK12"
"35",0.399280131308641,"C1orf35"
"36",0.239504017522989,"DACT3"
"38",0.491476012786444,"MCFD2"
"39",0.145167904601463,"IFRD2"
"40",0.471277812317835,"SLC39A6"
"42",0.436654218803759,"ZFP57"
"44",0.581753968497891,"CCHCR1"
"45",0.574210584485673,"FAM65C"
"46",0.406824623960649,"C10orf107"
"47",0.132632216723215,"PHC1"
"48",0.273183381744722,"SMURF1"
"49",0.5674715739275,"NMUR1"
"51",0.508234288052229,"ZFP3"
"52",0.527769682831428,"PHB"
"53",0.4096216910655,"SESN3"
"54",0.305413548248493,"HIST2H2AC"
"57",0.185501795961487,"RABGAP1"
"60",0.0625997173620068,"COMMD6"
"62",0.0422378809437163,"REN"
"64",0.404896230818688,"RBM22"
"65",0.0817109071696089,"EXD3"
"66",0.0517649058234451,"C19orf47"
"68",0.242029342577005,"GLI4"
"70",0.216930865275776,"METTL14"
"72",0.408162957286851,"DYNC1LI1"
"75",0.551237924086645,"DNAH1"
"76",0.47799925919648,"ANKRD13D"
"79",0.26095986004879,"REEP1"
"83",0.0902442311430569,"SNAPC3"
"84",0.0372881383158106,"ITGB8"
"85",0.160378819871529,"THAP8"
"86",0.44802540131631,"OXSM"
"87",0.0635288385405044,"ZBBX"
"91",0.584785419293143,"RHBDL2"
"92",0.12148958517802,"SMURF2"
"93",0.0193482948676937,"ZNF222"
"95",0.0357702164477534,"DYM"
"97",0.264522011387538,"CTTNBP2NL"
"100",0.0436297220234323,"MAGED1"
"101",0.330775288919354,"ACOT4"
