"","Fold.change","Gene"
"2",0.124598507588913,"LIN7B"
"5",0.270496064829643,"SCML1"
"6",0.300560667377284,"AC024592.12"
"7",0.478396856683339,"GSDMD"
"11",0.423122928064078,"DOCK5"
"16",0.0322775462236695,"VPS52"
"20",0.0510146209854394,"AEN"
"21",0.334465614952054,"CYHR1"
"22",0.275690146823596,"VWA1"
"23",0.0982998515104914,"EXOSC9"
"27",0.338602700555205,"ALG9"
"28",0.0542927072597887,"RPS15A"
"30",0.116620047244203,"SFMBT1"
"35",0.262521172071498,"SHKBP1"
"37",0.392741548466235,"ENO3"
"38",0.383746087630898,"COX19"
"41",0.129126505951954,"RDH14"
"42",0.307208148991618,"GDE1"
"45",0.01893655950024,"ACOT8"
"49",0.208363240420999,"CDIPT"
"50",0.364513295738324,"C19orf44"
"51",0.404550880119713,"PABPN1"
"52",0.392731649528935,"NFKBIB"
"54",0.399235716543744,"DYNLL1"
"55",0.561290675991428,"NRXN3"
"57",0.438547183602282,"CAPRIN1"
"61",0.129853200608535,"NENF"
"65",0.358132217834827,"ZFYVE19"
"66",0.452609281635203,"NTRK1"
"67",0.268142915663158,"CCDC62"
"73",0.216812528017891,"NOXRED1"
"75",0.17369389196419,"RNF114"
"76",0.119612621861826,"JOSD2"
"79",0.435589488768768,"CDH10"
"82",0.349200182328667,"STX16"
"84",0.259546676780751,"BFAR"
"85",0.217568184360842,"MEP1B"
"89",0.542132798224555,"BRWD3"
"92",0.373110102140332,"FAM193B"
"94",0.403538290158968,"COL4A2"
"96",0.469144389268962,"TVP23B"
"97",0.00327419939198492,"FBXO42"
"98",0.310894066430146,"NBEAL1"
"99",0.481156820870128,"BCL6"
"100",0.47022643279224,"DNAJC3"
"103",0.00207114022884269,"VPS13B"
"104",0.0942845831668926,"ZMYM3"
"105",0.103247636574211,"SEMA3D"
"107",0.242976969451904,"RBM44"
"109",0.531909019640391,"ETV6"
"110",0.454041397104222,"C1RL"
"112",0.207619462249088,"GPN3"
"114",0.340966287485246,"MAGED2"
"115",0.33623079476695,"C1orf85"
"116",0.474940364742703,"JRKL"
"117",0.399937873877596,"BHLHE40"
"120",0.432263945472499,"NTPCR"
"121",0.367395916045542,"CBWD3"
"123",0.000947755276651918,"C14orf119"
"129",0.0657801164431273,"REV1"
"130",0.00114170341499964,"ECH1"
"132",0.363237786378694,"SEP15"
"133",0.0834828192088111,"LRRC24"
"137",0.378298901326907,"GMFB"
"139",0.0665887518906132,"APOBEC3G"
"141",0.242727440571432,"IQCH"
"144",0.506531861288096,"PSMC1"
"145",0.427855216057358,"TGIF1"
"146",0.504316566049598,"C18orf21"
"147",0.472264595665079,"CD180"
"148",0.500071700808939,"TDRKH"
"150",0.12957706966203,"RP11-849F2.7"
