"","FC","rawPvalue"
"METTL21B",-0.335404617282969,0.00120708089952969
"TXNDC16",-0.0030790929951543,0.965196916971543
"ZBTB49",-0.0871543231603997,0.0934986115928456
"SYT1",2.71333774410663,2.36232030583922e-11
"OPCML",-1.29429480340043,0.790392952891475
"ZNF781",0.117004477289921,0.359657131297391
"DPP9",-1.3671631648314,8.65446142579231e-20
"TEX2",0.0786224689210187,0.117633385155979
"PDZD9",0.616005026538204,8.10699898678288e-05
"LIPN",-1.79616262948337,3.85663668557795e-07
"C11orf31",-0.35837117135401,9.94534685417524e-10
"RAP1A",0.0695602815613068,0.0910661344031216
"COL4A5",2.23150964455434,3.05939329948525e-12
"TRPV3",-0.80779492461504,0.0460390549543817
"ARAF",0.217345974516155,1.33963219854464e-08
"SOX10",2.74547741271852,3.79403643571318e-08
"ECEL1",0.926906326792788,3.04177218438405e-05
"RNFT1",-0.616466269942104,1.14052546225983e-12
"RP11-793H13.10",-1.01014009285473,1.96132764010445e-07
"RNF39",0.811599637872109,5.92708405492295e-08
"SMIM8",0.543927806965269,4.39778461963821e-11
"NAV2",2.03483064029056,2.54459762599217e-25
"C10orf111",0.556957074300417,2.49307083171538e-05
"APC",-0.124427985604672,0.0551119954884246
"AEN",-1.30360877100083,1.16551643632404e-12
"XAF1",-1.31726088529036,6.62488455491205e-11
"ZNF763",0.743948161695262,3.48390850782767e-12
"NDE1",-0.661631297968874,7.0262566240912e-14
"EDARADD",1.50005981835863,4.16177122825828e-10
"ADAM21",1.47944123883525,9.35249341211525e-12
"CCDC74B",-0.999709911822474,3.36921497523056e-06
"ZNF267",-0.83189086350067,1.1524104793974e-13
"CTSB",-0.48697974931895,0.000103120549778416
"CDK12",-0.111033367396837,0.0816051620346
"C1orf35",-0.399280131308641,1.62115171338834e-07
"DACT3",0.239504017522989,0.443171083008371
"REP15",-0.723097695143982,4.27429475557571e-07
"MCFD2",-0.491476012786444,4.71689149751036e-11
"IFRD2",0.145167904601463,0.00404128192110542
"SLC39A6",0.471277812317835,1.16949759000032e-08
"C22orf34",-1.61300590832054,8.59147611912281e-12
"ZFP57",0.436654218803759,0.0183683096443931
"PARM1",1.39491492605726,9.35456348364841e-12
"CCHCR1",-0.581753968497891,2.16438392619568e-07
"FAM65C",0.574210584485673,0.000200687019545544
"C10orf107",-0.406824623960649,0.821136394388114
"PHC1",-0.132632216723215,0.0965118355508793
"SMURF1",-0.273183381744722,0.00857113988159489
"NMUR1",-0.5674715739275,5.84440353289935e-06
"MARVELD1",-1.05351942819531,1.44759449400977e-12
"ZFP3",0.508234288052229,9.67978416942575e-11
"PHB",0.527769682831428,3.78549932450612e-15
"SESN3",0.4096216910655,0.000308371859735862
"HIST2H2AC",0.305413548248493,0.0187456625710104
"PABPC1L",-0.717322041977324,0.00241502066473855
"ANKRD33B",-1.17081214097042,1.9716093241952e-05
"RABGAP1",0.185501795961487,0.00424540181843569
"SC5D",0.894436340965175,3.55803879107414e-10
"MATN2",1.11008812824004,2.58349928573296e-12
"COMMD6",-0.0625997173620068,0.484154982242611
"KRBA2",1.01803390879179,5.48419335352764e-12
"REN",-0.0422378809437163,0.0700295009764509
"WDR63",1.06131074837809,6.56143641725377e-09
"RBM22",-0.404896230818688,1.34130447247539e-09
"EXD3",-0.0817109071696089,0.970754343205957
"C19orf47",0.0517649058234451,0.217827154090033
"TDRP",0.662997319881281,8.2722385479544e-08
"GLI4",-0.242029342577005,0.0610927830777016
"C11orf70",0.660764284362565,0.000103477220768044
"METTL14",0.216930865275776,8.4841476568693e-05
"SH3GLB2",0.944222281326807,2.08415824098817e-11
"DYNC1LI1",0.408162957286851,6.52175989264066e-10
"ALS2CL",2.47274264722338,3.43324572562528e-11
"PJA1",0.599394607285495,5.4674657460147e-10
"DNAH1",-0.551237924086645,3.24147733185913e-05
"ANKRD13D",-0.47799925919648,1.16424212717076e-05
"CEBPA",-1.51940345101044,9.29043687665926e-06
"ANKRD18A",0.90538995798556,1.54139299441737e-06
"REEP1",0.26095986004879,0.012140695145832
"SCN5A",-0.951985044609345,0.122123985083725
"NDP",-1.10913839360128,0.0459542749500399
"ZIM2",2.51337927313696,1.31269237784454e-11
"SNAPC3",0.0902442311430569,0.13048772237325
"ITGB8",-0.0372881383158106,0.390388078975712
"THAP8",-0.160378819871529,0.00815717004131958
"OXSM",0.44802540131631,1.993177911389e-12
"ZBBX",0.0635288385405044,0.177873026072589
"CCDC42",-1.16047880808563,7.69690278280877e-05
"NR2C2AP",-0.769779703687307,8.52226472196964e-21
"KCNH1",2.81164322947262,5.39847303713506e-11
"RHBDL2",-0.584785419293143,4.26460114332503e-06
"SMURF2",0.12148958517802,0.0448083496733605
