"","FC","rawPvalue"
"HIST3H2A",-2.41622019581534,1.03803439084925e-08
"LIN7B",-0.124598507588913,0.289164596759611
"LXN",0.821132699450441,1.76719375972535e-06
"CNKSR2",1.56808302758768,3.42057742981495e-12
"SCML1",0.270496064829643,0.0625134596993155
"AC024592.12",-0.300560667377284,0.0680810976786385
"GSDMD",0.478396856683339,1.52957264107439e-06
"AKR1C1",-3.70170505171943,0.000122033393260438
"C3orf62",0.649746712873754,4.76855934572083e-11
"CRISPLD2",1.11649856287345,2.13971691026639e-06
"DOCK5",0.423122928064078,1.52761163383436e-05
"SLC33A1",-0.855548484870472,5.21276786714448e-09
"GLI1",-0.952144406226235,0.102805081195097
"STK17B",0.981011843275923,4.51183332012359e-13
"RP5-966M1.6",1.40956298610914,7.80294909919584e-09
"VPS52",-0.0322775462236695,0.614868220192762
"HAGHL",-0.653257819420758,0.00511896143343789
"CDC37L1",0.659001707981785,1.37777812448481e-08
"KRT10",-2.17307127873097,2.29555167217845e-09
"AEN",-0.0510146209854394,0.652979252379783
"CYHR1",-0.334465614952054,0.000244220248656818
"VWA1",0.275690146823596,0.00110351353041621
"EXOSC9",-0.0982998515104914,0.742714538990157
"TNFAIP8L2",1.82601905453364,1.79596378258815e-18
"PFDN2",-0.964038596358643,1.05467830966217e-09
"TCP1",-0.888924641773466,3.66275207378867e-09
"ALG9",0.338602700555205,6.04389591638211e-07
"RPS15A",0.0542927072597887,0.961503937527367
"PMEL",-0.730674434886457,0.0397670643514952
"SFMBT1",-0.116620047244203,0.643108225381773
"CYBA",0.755317037356679,8.1171881807637e-08
"GINS1",-3.94969906932738,1.1451255561766e-09
"GPX3",3.51700910231404,7.79049220721842e-10
"IPO9",-0.740554699170463,7.06696432541937e-09
"SHKBP1",-0.262521172071498,0.035342283783223
"ARHGAP40",-0.81784496635147,0.144938397177139
"ENO3",-0.392741548466235,0.0284305052398458
"COX19",-0.383746087630898,9.24575506592597e-05
"LMF1",0.761725001500245,1.75269886758384e-12
"S100P",-2.21697426634016,0.0822830546632277
"RDH14",0.129126505951954,0.0307765657459624
"GDE1",0.307208148991618,6.99739127021175e-06
"LSM14B",-0.803614315772803,2.0387892236432e-09
"TLE2",1.69578716473634,1.34222833955637e-09
"ACOT8",0.01893655950024,0.14367208180696
"EIF4EBP3",0.892699210479469,1.63632499316564e-11
"LRP2BP",2.85734675128684,7.79049220721842e-10
"PELO",0.593204397533301,4.72550346403701e-12
"CDIPT",0.208363240420999,0.000354625617145006
"C19orf44",0.364513295738324,2.91676217374358e-05
"PABPN1",-0.404550880119713,3.28034096391347e-07
"NFKBIB",-0.392731649528935,0.0324770226029586
"ZWINT",-3.06745939495051,8.27893173553169e-10
"DYNLL1",-0.399235716543744,1.44373665365177e-06
"NRXN3",0.561290675991428,0.000655351190157038
"FYTTD1",-0.840229216159498,9.72708339101654e-08
"CAPRIN1",-0.438547183602282,2.81328666179376e-07
"AOC3",3.31062994656719,1.56380627696426e-23
"KIFC3",0.757131760249203,4.55802244322145e-08
"DOCK11",1.91038534038472,1.51802273720693e-19
"NENF",-0.129853200608535,0.0710491614118458
"TMEM231",1.23379404023114,7.84143794524039e-06
"DNAH17",-1.70568517206085,0.00723629799512369
"DCHS1",1.21911136166284,9.87002535347663e-07
"ZFYVE19",-0.358132217834827,0.000261570231399437
"NTRK1",0.452609281635203,0.000253604092235566
"CCDC62",0.268142915663158,0.00967850207670145
"HS3ST4",-4.03774639056324,0.0428883523334134
"SLC5A8",2.41237876357857,4.91907449309094e-09
"WDR53",-1.46724202231421,7.79049220721842e-10
"NLN",-1.40754344358614,1.34222833955637e-09
"TBC1D31",-1.31017697250291,1.42521395071894e-09
"NOXRED1",0.216812528017891,0.493099885478446
"ZNF597",1.5081970301651,6.59800049300505e-19
"RNF114",0.17369389196419,0.00141314867174126
"JOSD2",-0.119612621861826,0.160768602829023
"SFRP2",-1.11773033098453,0.000995596959071839
"PNMA2",2.39824381658537,4.13029114854546e-21
"CDH10",0.435589488768768,1.854004404664e-06
"C1orf158",2.77455272429696,3.52355521839535e-07
"HENMT1",-0.833196405514802,0.00122134286483618
"STX16",-0.349200182328667,0.000101730230832797
"PTX3",2.52216685332881,7.84143794524039e-06
"BFAR",0.259546676780751,1.02634027025147e-05
"MEP1B",-0.217568184360842,0.753531700634406
"SHROOM3",1.95738211403495,4.76342331018332e-19
"NUP107",-0.8794766339683,4.7888153606283e-14
"HS6ST1",-1.19043537860712,6.95667288468821e-09
"BRWD3",-0.542132798224555,4.34672286376669e-06
"FGF11",-4.25779444073562,7.79049220721842e-10
"CCDC138",-1.30739469535519,4.89876031526018e-10
"FAM193B",0.373110102140332,0.00112124344637761
"BATF",0.828503472089882,0.00014839594600795
"COL4A2",0.403538290158968,0.0547313978318664
"AGFG2",0.923323400862469,2.2416201263902e-09
"TVP23B",-0.469144389268962,0.00103031667689717
"FBXO42",-0.00327419939198492,0.369316224647648
"NBEAL1",0.310894066430146,9.24575506592597e-05
"BCL6",0.481156820870128,0.000652256075720059
"DNAJC3",0.47022643279224,1.854004404664e-06
"C1orf233",-0.765225008134352,0.00323582322279056
"ADH6",1.012492950104,0.0045385740379997
"VPS13B",0.00207114022884269,0.977569448123853
"ZMYM3",-0.0942845831668926,0.854474529634169
"SEMA3D",0.103247636574211,0.275351878476485
"ITGB6",1.26268502489017,1.82561438824018e-14
"RBM44",0.242976969451904,0.00323738381247511
"CEACAM21",2.40923943169325,1.60610660534078e-09
"ETV6",-0.531909019640391,0.00967934859969721
"C1RL",0.454041397104222,3.75590777113006e-08
"CCDC181",2.30443240868542,1.90712830439789e-08
"GPN3",-0.207619462249088,0.00393973401953944
"RAP1GAP",1.31718753534753,2.40878690739884e-11
"MAGED2",0.340966287485246,3.81876415425966e-05
"C1orf85",-0.33623079476695,0.00445458964638238
"JRKL",-0.474940364742703,4.24853320952509e-06
"BHLHE40",0.399937873877596,0.00474227274242251
"NMUR1",3.2777164486629,7.98170210846842e-20
"SPATA18",1.93905863372519,3.54734318257859e-08
"NTPCR",-0.432263945472499,5.12755321255557e-05
"CBWD3",-0.367395916045542,0.000318761539881706
"TLDC2",0.688623390073055,0.000293449822843126
"C14orf119",0.000947755276651918,0.543083644827546
"GNAI2",1.1345951415489,1.01025835910326e-21
"MNDA",2.29370578444208,1.02736678096845e-21
"RP11-347C12.3",0.591957242956238,0.000317394623744578
"CLEC6A",2.68613461980576,1.12054244623398e-09
"FCGR2A",1.41525600220986,4.00962835235446e-15
"REV1",0.0657801164431273,0.321860108590356
"ECH1",0.00114170341499964,0.0241927900112916
"ZNF491",1.42108516334423,4.91907449309094e-09
"SEP15",0.363237786378694,3.91742367910437e-05
"LRRC24",-0.0834828192088111,0.94228357546513
"C1orf109",-1.3388395796401,4.37920279555664e-09
"GMFG",2.29420404396442,7.79049220721842e-10
"MAGEH1",0.796521004834002,5.1965939338348e-08
"GMFB",0.378298901326907,1.59916358943491e-07
"AC068987.1",-2.0267277785516,1.04364053226461e-07
"APOBEC3G",-0.0665887518906132,0.816787585423088
"SLC7A2",1.22211541562688,5.20507892994816e-06
"IQCH",0.242727440571432,0.374486081617738
"FAM83G",-1.40191223717957,9.89673445568672e-08
"CCNA2",-3.66842950377317,8.27893173553169e-10
"PSMC1",-0.506531861288096,5.33961332486565e-09
"TGIF1",-0.427855216057358,0.000294626353816329
"C18orf21",-0.504316566049598,0.00010013220697745
"CD180",0.472264595665079,0.0773036213452419
"TDRKH",-0.500071700808939,0.411914782283056
"TXNDC15",0.747998834602187,1.17197722125564e-13
"RP11-849F2.7",0.12957706966203,0.163734354324592
"CTNNA3",-0.149631163193556,0.262790705448589
